"release_year","avg_rating","game_count"
"2022",7.498913043478261,92
"1998",7.408333333333334,252
"1999",7.398726114649681,314
"2005",7.275652173913043,345
"2004",7.275370919881306,337
"1997",7.262719298245615,228
"2006",7.169578313253012,332
"2010",7.16261980830671,313
"1996",7.161660079051384,253
"2016",7.15558583106267,367
"2021",7.153879310344828,232
"2008",7.153264604810996,291
"2001",7.135403726708074,322
"2002",7.12865329512894,349
"2007",7.107189542483661,306
"2011",7.097741935483872,310
"2003",7.091666666666667,360
"2012",7.0698830409356725,342
"2009",7.057911392405064,316
"2017",7.05484693877551,392
"2000",7.027848101265823,316
"1995",7.016157205240175,229
"2014",7.010650887573965,338
"2019",7.008309455587392,349
"2020",7.0031690140845075,284
"2013",6.989459459459459,370
"2015",6.961333333333333,375
"2018",6.928651685393258,356
"1993",6.883544303797469,237
"1994",6.863218390804597,261
"1992",6.736815920398009,201
"1991",6.708510638297873,188
"1989",6.610948905109489,137
"1987",6.5905172413793105,116
"1990",6.583636363636363,165
"1988",6.557142857142857,112
"1986",6.496629213483146,89
"1982",6.3820512820512825,78
"1984",6.377108433734939,83
"1985",6.260810810810811,74
"1983",6.244736842105263,76
"1981",5.520370370370371,54
"1979",5.184210526315789,19
"1977",5.121428571428572,14
"1980",5.053191489361702,47
"1976",4.990909090909091,11
"1978",4.894117647058824,17
